col1,col2,col3,col4,col5,col6,col7,col8,col9,col10,col11,col12,col13,col14,col15,col16,col17,col18,col19,col20,col21,col22,col23,col24,col25,col26,col27,col28,col29,col30,col31,col32,col33,col34,col35,col36,col37,col38,col39,col40,col41,col42,col43,col44,col45,col46,col47,col48,col49,col50,col51,col52,col53,col54,col55,col56,col57,col58,col59,col60,col61,col62,col63,col64,col65,col66,col67,col68,col69,col70,col71,col72,col73,col74,col75,col76,col77,col78,col79,col80,col81,col82,col83,col84,col85,col86,col87,col88,col89,col90,col91,col92,col93,col94,col95,col96,col97,col98,col99,col100,col101,col102,col103,col104,col105,col106,col107,col108
119916274,"English","10/02/1976","Text","Igbo","Christianity","Male","No","Married","Yes","Private sector employee","Furniture",0,0,7,"Primary school (or can read and write)",250000,"No","Never","Frequently","Sometimes","Fair","Sometimes","No",,,,,,,"Other","Never","Sometimes","Poor","Very dissatisfied","Very dissatisfied","Not at all","Fairly dissatisfied","A small amount","Not at all","Sometimes","A small amount","Not at all","Very dissatisfied","Fairly dissatisfied","Not at all","Not at all","Not at all","Not at all","Very dissatisfied","Very dissatisfied","Very dissatisfied","Very dissatisfied","Fairly dissatisfied","no","Yes","No","Yes","No","A few times","Never","Never",,,12,"Yes","Very good","school",,,,,,"Not at all",,,"Not at all","not know","not good education, not enough language community, no access to human development","No","No","myself","Very Unsatisfied","Never","Never","Sometimes","Not at all","No",,"Malaria",,,,,,,,"yes","Neither satisfied nor dissatisfied","Sometimes","No","Not at all","Not at all","Yes","Not at all","no interpretation","A little of the time","gesturing"
119915705,"ASL, nigeria language","04/20/1990","whatsapp","esan","Christianity","Male","No","Married","Yes","Government employee","Teacher",81000,1,5,,,"No","Never","Infrequently","Infrequently","Poor","Frequently","Yes",,"I don't have the time to shop for, and prepare healthy food",,,,,,"Never","Never","Poor","Fairly dissatisfied","Fairly dissatisfied","Somewhat","Neither satisfied nor dissatisfied","A small amount","A small amount","Sometimes","A great deal","Somewhat","Fairly dissatisfied","Fairly dissatisfied","Somewhat","Moderately","Somewhat","Not at all","Very dissatisfied","Very dissatisfied","Very dissatisfied","Very dissatisfied","Very dissatisfied","my association, edo state assocation of the deaf, my parents","No","No","No","Yes","A few times","Once","Never",4,"no need, am okay with my deaf",5,"I already know sign language","Good","school",,,,,,"Not at all",,,"Not at all","local government for deaf gather meeting, cmdc deaf church, ihogbe college special school","employment, empowerment, education","No","Yes","myself","Unsatisfied","Never","Infrequently","Never","Slightly","No",,"Malaria",,,,,,,,"use of drug","Neither satisfied nor dissatisfied","Sometimes","No","Not at all","Slightly","Yes","Slightly","through hearing from news, eg whatsapp, deaf gist","All of the time","talking and writing"
119901128,"English language and NSL","08/25/1979","whatsapp and text message","Bini","Christianity","Male","No","Married","Yes","Government employee","deaf teacher",168720,1,5,"University (Bachelor degree)",120000,"No","Sometimes","Infrequently","Sometimes","Fair","Sometimes","Yes","I don't have the transportation to go shopping for healthy food",,,,,,,"Frequently","Frequently","Very Good","Fairly dissatisfied","Very satisfied","To a great extent","Satisfied","A great deal","A moderate amount","Sometimes","A great deal","Completely","Very satisfied","Neither satisfied nor dissatisfied","Slightly","Moderately","Slightly","Slightly","Satisfied","Very dissatisfied","Very satisfied","Very satisfied","Fairly dissatisfied","partner, family, and police","Yes","Yes","No","Yes","Never","Never","Never",7,"family, love and good quality education",14,"I already know sign language","Very good","school",,,,,"No","Not at all",,,"Not at all","college, deaf unit, local government","ability to interact with hearing people, ability to speak words, lack of employment opportunites","No","No","myself","Very Unsatisfied","Infrequently","Never","Never","Somewhat","No",,,,,,,,,,"drugs","Very satisfied","Frequently","No","Not at all","Slightly","Yes","Not at all","whatsapp, newspaper and television","All of the time","sign language and speaking in local language and writing"
119899380,"NSL","01/01/","Whatsapp, Message fu book 2 go","Igbo","Christianity","Female",,"Married","Yes","Self-employed","salon and sell groundnut",6000,3,3,"Primary school (or can read and write)",35000,"No","Sometimes","Sometimes","Sometimes","Fair","Sometimes","Yes",,,,"I don't have the supplies and equipment I'd need to cook healthy food",,,,"Never","Never","Very Good","Fairly dissatisfied","Very satisfied","Completely","Satisfied","Not at all","A great deal","Never","A great deal","Completely","Very dissatisfied","Neither satisfied nor dissatisfied","Completely","Extremely","Completely","Moderately","Neither satisfied nor dissatisfied","Fairly dissatisfied","Neither satisfied nor dissatisfied","Satisfied","Satisfied",,"Yes","Yes","No","Yes","Once","Once","Once",0,"family support",12,"Yes","Neither poor nor good","school",,,,,,"Not at all",,,"Not at all","churches and school","trouble","Yes","Yes",,"Unsatisfied","Always",,"Always","Somewhat","Yes",,,,,,,,"Ulcers",,"net","Satisfied","Never","Yes","To a great extent","Completely","Yes","Not at all",,"Not at all","uncle"
119762064,,"04/12/1985","sign language","Igbo","Christianity","Female","No","Married","Yes","Self-employed","hair fashion",30000,2,6,"Institute (2 years)",48000,"No","Never","Sometimes","Never","Poor","Infrequently","No",,,,"I don't have the supplies and equipment I'd need to cook healthy food",,,,"Never","Never","Neither poor nor good","Fairly dissatisfied","Fairly dissatisfied","Not at all","Neither satisfied nor dissatisfied","An extreme amount","A small amount","Frequently","A small amount","Completely","Satisfied","Very dissatisfied","Not at all","Slightly","Not at all","Not at all","Very dissatisfied","Very dissatisfied","Neither satisfied nor dissatisfied","Fairly dissatisfied","Very dissatisfied","nobody","Yes","Yes","No",,"Many times","Never","Never",17,"yes hearing aids",22,"I already know sign language","Very good","special education deaf school",,,"Other",,"No","Not at all",,,,,"they don't go to school, many of them don't have work, no official sign language","No","No","myself","Very Unsatisfied","Never","Never","Never","Not at all","No","Typhoid","Malaria",,,,,,,,"bed net and drugs","Neither satisfied nor dissatisfied","Never","No","Slightly","Not at all","Yes",,"to get money to get to hospital","All of the time","through sign language"
119761832,"English","04/18/1966","sign language","Igbo","Christianity","Male","No","Married","Yes","Private sector employee","preacher",0,1,4,"University (Bachelor degree)",450000,"No","Sometimes","Always","Sometimes","Fair","Sometimes","Yes",,"I don't have the time to shop for, and prepare healthy food",,,,,,"Sometimes","Sometimes","Neither poor nor good","Neither satisfied nor dissatisfied","Neither satisfied nor dissatisfied","Somewhat","Very dissatisfied","A great deal","A small amount","Always","A small amount","Completely","Neither satisfied nor dissatisfied","Neither satisfied nor dissatisfied","Not at all","Not at all","Not at all","Slightly","Very dissatisfied","Very dissatisfied","Satisfied","Fairly dissatisfied","Neither satisfied nor dissatisfied","wife and brother","No","No","No","No","A few times","Once","Never",4,"no need",6,"I already know sign language","Very good","deaf school",,,,,,"Not at all",,,"To a great extent","church","build church, bus to church, and assist them to establish business","No","Yes","myself","Unsatisfied","Never","Sometimes","Sometimes","Somewhat","No",,"Malaria",,,,"High Blood Pressure",,,,"bed net and medicine","Neither satisfied nor dissatisfied","Never","No","Somewhat","Somewhat","No","Somewhat","through news, television, and whatsapp","A little of the time","sign language"
119761502,"English","12/10/1973","Sign language","Igbo","Christianity","Male","No","Married","Yes","Private sector employee","ministiry clergy assemble of god",,,,"Institute (2 years)",250000,"No","Sometimes","Sometimes","Sometimes","Fair","Sometimes","Yes",,,"I don't know how to cook and prepare healthy meals",,,,,"Sometimes","Frequently","Neither poor nor good","Neither satisfied nor dissatisfied","Neither satisfied nor dissatisfied","Somewhat","Neither satisfied nor dissatisfied","A small amount","A small amount","Frequently","A small amount","Completely","Satisfied","Satisfied","Completely","Very","Somewhat","Moderately","Neither satisfied nor dissatisfied","Neither satisfied nor dissatisfied","Neither satisfied nor dissatisfied","Neither satisfied nor dissatisfied","Neither satisfied nor dissatisfied","police woman by my sister","No","No","No","No","A few times","Once","Never",7,,12,"I already know sign language","Very good","deaf school","Hearing Aids",,,14,"No","Not at all",,,"Somewhat","church and deaf school","employment, learn handwork, and spiritual living in gods word","No","No","myself","Neutral","Sometimes","Sometimes","Sometimes","Somewhat","No",,"Malaria",,,,,,,,,"Neither satisfied nor dissatisfied","Sometimes","No","Somewhat","Somewhat","No","Somewhat","reading newspaper and tv","A little of the time","sign language"
119692188,"English","06/12/1999","Sign language","Igbo","Christianity","Female","No","Married","Yes",,"haircutter",,,6,,350000,"No","Never","Sometimes","Never","Poor","Infrequently","Yes",,,,,,,,"Never","Infrequently","Poor","Neither satisfied nor dissatisfied","Fairly dissatisfied","Not at all","Neither satisfied nor dissatisfied","A small amount","A small amount","Never","A small amount","Completely","Very dissatisfied","Fairly dissatisfied","Not at all","Slightly","Not at all","Not at all","Very dissatisfied","Very dissatisfied","Fairly dissatisfied","Fairly dissatisfied","Fairly dissatisfied",,"No","No","No","No","Many times","Never","Never",3,,13,"Yes","Very good","deaf school",,,,,"No",,,,"Not at all",,"no access to communication in sign language, no center support for senior deaf, and no access to health care","Yes","No","myself","Very Unsatisfied","Never","Sometimes","Never","Not at all","No","Typhoid","Malaria",,,,,,,"Other","bed net and drugs","Very dissatisfied","Never","No","Not at all","Not at all","Yes","Not at all","no information for us at all","All of the time","gesturing"
119553418,"Sign language","04/24/1984","facebook/whatsapp","bachama","Christianity","Male",,"Married",,"Unemployed","farmer",560,,,"Institute (2 years)",,"No","Sometimes","Sometimes","Sometimes","Poor","Sometimes","Yes",,,,,"The others in my household do not eat healthy",,,"Infrequently","Infrequently","Very Poor","Fairly dissatisfied","Very dissatisfied","Not at all","Neither satisfied nor dissatisfied","Not at all","Not at all","Frequently","An extreme amount","Somewhat","Very dissatisfied","Very dissatisfied","Not at all","Not at all","Not at all","Not at all","Fairly dissatisfied","Fairly dissatisfied","Neither satisfied nor dissatisfied","Neither satisfied nor dissatisfied","Fairly dissatisfied","parents/family","Yes","Yes","Yes","No",,,,3,"hearing aid",5,"Yes","Very good","special school",,,,,"No","Not at all",,,"Not at all",,,"No","Yes",,"Very Unsatisfied","Always","Always","Never","Not at all","No",,,,,,,,,"Other","Fever","Very dissatisfied","Sometimes","Yes","Not at all","Completely","Yes","Not at all",,"All of the time",
119551410,,"06/15/1951",,,,"Female",,,,"Unemployed",,0,,,"Illiterate",,,"Sometimes",,"Never",,,,,,,,,,,,,,,,,,,,,,,,,,,"Not at all",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"No",,,,,,,"Not at all",,,,,,,,,,,,,,,"Not at all","Not at all",,"Not at all",,,
119545581,,"07/21/1973",,,,"Female",,,,"Self-employed",,3500,,,"Illiterate",,,"Frequently",,"Always",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Not at all",,,"Not at all",,,"Yes",,,"Neutral",,,,"Somewhat","No",,,,,,,,,,,,,,"To a great extent","Not at all",,"Not at all",,,
119545047,"sign language","05/11/1991","sign","hausa","Islam","Male","No","Married","No","Self-employed","farm/laundry",30000,2,6,"College of Education",,"Yes","Sometimes","Always","Sometimes","Fair","Sometimes","Yes",,,,,,,,"Sometimes","Always","Good","Fairly dissatisfied","Very satisfied","Completely","Fairly dissatisfied","A small amount","A small amount","Sometimes","A small amount","Not at all","Fairly dissatisfied","Fairly dissatisfied","Not at all","Not at all","Not at all","Not at all","Neither satisfied nor dissatisfied","Fairly dissatisfied","Very satisfied","Fairly dissatisfied","Fairly dissatisfied","family and friends","Yes","No","Yes","No","A few times","Never","Never",9,"nothing",15,"Yes","Very good","school","Hearing Aids",,,11,"No","Not at all",,,"Not at all",,"jobless","No","No",,"Very Unsatisfied","Always","Always","Never","Not at all","No",,"Malaria",,,,,,,,"by use mosquito net","Fairly dissatisfied","Always","Yes","Not at all","Not at all","Yes","Not at all",,"Not at all","speak/sign/write"
119545023,,"11/10/1997",,,,"Male",,,,"Self-employed",,,,,"Illiterate",,,"Never","Sometimes","Sometimes",,,"Yes",,,,,,,,,,,,,,,,,,,,,,,,"Not at all",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Not at all",,,,,,,,,,,,,,,"Somewhat","Completely",,"Not at all",,,
119543831,,"04/19/1967",,,,"Male",,,,"Self-employed",,6000,,,"Illiterate",,"Yes","Infrequently",,"Never",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Not at all",,,"Not at all",,,"No",,,,,,,,,,,,,,,,,,,,,,"Not at all","Somewhat",,,,,
119542589,,"10/05/1991",,,,"Male",,,,,,,,,"Illiterate",,,"Frequently","Frequently",,,,"Yes",,,,,,,,,,,,,,,,,,,,,,,,"Not at all",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"No",,,,,,"Never","Not at all",,,,,,,,,,,,,,,"Somewhat","Completely",,"Not at all",,,
119512443,"sign language","06/19/1991","signing language, verbal communication","Hoba, Kilba","Christianity","Male","No","Single",,"Self-employed","Laundry and cleaning service",12000,1,6,"College of Education",350000,"No","Sometimes","Always","Sometimes","Fair","Sometimes",,,,,"I don't have the supplies and equipment I'd need to cook healthy food",,,,"Sometimes","Sometimes","Neither poor nor good","Fairly dissatisfied","Fairly dissatisfied","Not at all","Fairly dissatisfied","An extreme amount","An extreme amount","Never","A great deal","Completely","Very dissatisfied","Fairly dissatisfied","Slightly","Extremely","Not at all","Moderately","Very dissatisfied","Very satisfied","Satisfied","Satisfied","Fairly dissatisfied","parents and friends","No","No","No","No","Once","Never","Never",9,"ear aid",10,"Yes","Good","at special school","Hearing Aids",,,12,"No","Not at all",,,"Not at all","blindness behind lien, leer church for the deaf,","discrimination","No","No","deaf people and those have the intention to learn","Very Unsatisfied","Never","Never","Never","Somewhat","No",,,,,,,,,"Other","using of mosquito net","Very dissatisfied","Sometimes","No","Not at all","Somewhat","Yes","Somewhat","media","A fair amount of the time","speaking, writing"
119512227,"English",,"whatsapp","yoruba","Christianity","Male","No","Married","Yes","Government employee","teaching",150000,1,5,"University (Bachelor degree)",120000,"Yes","Frequently","Always","Always","Very Good","Sometimes","No",,,,,,,,"Always","Frequently","Good","Satisfied","Very satisfied","To a great extent","Neither satisfied nor dissatisfied","A moderate amount","A moderate amount","Sometimes","A great deal","Somewhat","Satisfied","Satisfied","To a great extent","Moderately","To a great extent","Moderately","Satisfied","Satisfied","Satisfied","Neither satisfied nor dissatisfied","Satisfied","law enforcement","No","No","No","Yes","A few times","Never","Never",6,"none",9,"I already know sign language","Very good","school",,,"Other",,"No","Not at all",,,"Not at all","deaf church, deaf meeting venues, deaf schools, programmed venues, deaf friends homers, stadiums","employment, equity in education, empowerment","Yes","No","self and association","Neutral","Sometimes","Sometimes","Infrequently","Somewhat","No","Typhoid","Malaria",,,,"High Blood Pressure",,,,"self-medication","Satisfied","Frequently","No","Somewhat","Somewhat","No","Somewhat","on phone and tv","A fair amount of the time","speaking, gestures, writing, and signing"
119511927,"sign language","05/15/1979","whatsapp","hausa","Islam","Female","No","Married","No","Unemployed",,,,,"Institute (2 years)",200000,"No","Never","Always","Sometimes","Fair","Sometimes","Yes",,,,,,,"[Other] I am not often eating everyday cause of my healthy","Never","Never","Very Poor","Fairly dissatisfied","Neither satisfied nor dissatisfied","Not at all","Very dissatisfied","A small amount","A small amount","Never","A small amount","Slightly","Fairly dissatisfied","Very dissatisfied","Not at all","Moderately","Not at all","Not at all","Fairly dissatisfied","Very dissatisfied","Very dissatisfied","Very dissatisfied","Very dissatisfied","communicate with the lawyers","No","No","No","No","Never","A few times","Never",6,"interpreter",,"I already know sign language","Very good","I learn sign language from school",,,,6,"No","Not at all",,,"Slightly","none","yes","No","No","no","Unsatisfied","Sometimes","Infrequently","Infrequently","Slightly","No","Typhoid",,,,,,,,,"I have been having malaria always","Very dissatisfied","Always","Yes","Not at all","Not at all","Yes","Slightly","malaria","A little of the time","communicate my family members local"
119511429,"English language","07/10/1990","text message","yoruba","Islam","Female","No","Married","Yes","Government employee","teacher",65000,2,5,"University (Bachelor degree)",200000,"No","Infrequently","Infrequently","Sometimes","Fair","Frequently","Yes",,,,"I don't have the supplies and equipment I'd need to cook healthy food",,,,"Infrequently","Infrequently","Good","Fairly dissatisfied","Fairly dissatisfied","Slightly","Very satisfied","A moderate amount","A moderate amount","Sometimes","A moderate amount","Completely","Fairly dissatisfied","Satisfied","Completely","Very","Not at all","Moderately","Fairly dissatisfied","Fairly dissatisfied","Satisfied","Satisfied","Satisfied","police","No","No","No","No","Once","Once","Never",4,"none",20,"I already know sign language","Good","in school (interpreter and deaf classmate)","Hearing Aids",,,20,"No","Somewhat",,,"Not at all",,"hospital, interpreter, tacci","No","No","me","Satisfied","Sometimes","Sometimes","Infrequently","Not at all","No",,"Malaria",,,,,,,,"by using drug given to me by a doctor","Fairly dissatisfied","Sometimes","No","Slightly","Not at all","Yes","Slightly","hospital and health care","A fair amount of the time","speaking, watching their mouth"
119510640,"English",,"text message","bini","Christianity",,"No","Single",,"Student","sport is work (athlete, deaf sport)",20000,,3,"College of Education",,"No","Sometimes","Always","Infrequently","Very Good","Always","No",,"I don't have the time to shop for, and prepare healthy food",,"I don't have the supplies and equipment I'd need to cook healthy food",,,,"Sometimes","Sometimes",,"Very dissatisfied","Fairly dissatisfied","Slightly","Very satisfied",,,"Always","Not at all","Slightly","Fairly dissatisfied","Fairly dissatisfied","Slightly","Slightly","Slightly","Slightly","Very dissatisfied","Very dissatisfied","Fairly dissatisfied","Fairly dissatisfied","Fairly dissatisfied",,,,,,"Many times","Never","Never",,,,"I already know sign language",,"Wesley school for the deaf","Hearing Aids",,,11,"No","Not at all",,,"Not at all","deaf church",,,"No",,"Unsatisfied","Sometimes","Always","Sometimes","Slightly","No",,"Malaria",,,,,,,,"medical","Fairly dissatisfied","Always","No","Not at all","Not at all",,"Not at all",,"All of the time","sign language"
119510316,,"12/12/1973",,,,"Male",,,,,,,,,"Illiterate",,,"Never","Never",,,,"Yes",,,,,,,,,,,,,,,,,,,,,,,,"Not at all",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"No",,,,,,,"Not at all",,,,,,,,,,,,,,,"Slightly","To a great extent",,"Not at all",,,
119474243,"English language","01/30/1983","sign language and writing","Yoruba","Christianity","Male","No","Married","Yes","Government employee","public servant",114545,1,7,"University (Master degree)",400000,"No","Frequently","Frequently","Infrequently","Fair","Sometimes","Yes",,,,"I don't have the supplies and equipment I'd need to cook healthy food",,,,"Frequently","Sometimes","Neither poor nor good","Very dissatisfied","Fairly dissatisfied","Slightly","Fairly dissatisfied","A great deal","A small amount","Sometimes","A moderate amount","To a great extent","Neither satisfied nor dissatisfied","Fairly dissatisfied","Slightly","Slightly","Not at all","Moderately","Fairly dissatisfied","Neither satisfied nor dissatisfied","Fairly dissatisfied","Neither satisfied nor dissatisfied","Satisfied","family and friends","Yes","No","No","No","Never","Never","Never",9,"hearing aid",13,"I already know sign language","Very good","deaf school",,,,,,"Not at all",,,"Somewhat","church","lack of adequate information","Yes","Yes","government and organizer of the program","Very Unsatisfied","Sometimes","Frequently","Infrequently","Somewhat","Yes",,,,,,,,,"Other",,"Neither satisfied nor dissatisfied","Sometimes","No","Somewhat","Slightly","Yes","Slightly","internet (news)","All of the time","writing and speaking however my voice isn't fluent"
119473978,"Hausa, Fulani, and English","06/01/1999","Hausa language, english language, and lip reading","Hausa and Fulani","Islam","Male","No","Married","Yes","Self-employed","farming such as poultry and catfish",50000,,5,"University (Bachelor degree)",400000,"No","Frequently","Sometimes","Frequently","Very Good","Sometimes","Yes","I don't have the transportation to go shopping for healthy food",,,,,,,"Frequently","Frequently","Good","Neither satisfied nor dissatisfied","Neither satisfied nor dissatisfied","Completely","Neither satisfied nor dissatisfied","A great deal","A small amount","Sometimes","A small amount","Somewhat","Neither satisfied nor dissatisfied","Fairly dissatisfied","Somewhat","Moderately","Not at all","Extremely","Neither satisfied nor dissatisfied","Fairly dissatisfied","Satisfied","Fairly dissatisfied","Neither satisfied nor dissatisfied","police","Yes","No","No","No","Many times","Many times","Never",10,,14,"Yes","Very good","deaf school","Hearing Aids",,,16,"Yes","Not at all",,,"Somewhat",,"discrimination, lack of access, with agencies and treament","No","No","nobody","Very Unsatisfied","Sometimes","Sometimes","Sometimes","Somewhat","No",,,,,,,,"Ulcers",,,"Neither satisfied nor dissatisfied","Sometimes","No","Not at all","Not at all","Yes","Somewhat","with the help of interpreter","A little of the time","lipreading"
119473734,"English, Hausa and sign language","07/17/1989","Facebook, email, whatsapp, and telegram","hausa","Islam",,,,,"Private sector employee","storekeeper",34600,,,"College of Education",,,"Sometimes","Always","Sometimes","Good",,,,,,,,,,,,,,,,,,,,,,,"Neither satisfied nor dissatisfied","Not at all","Moderately","Not at all","Moderately",,"Neither satisfied nor dissatisfied",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"No",,,"Unsatisfied",,"Sometimes","Infrequently","Not at all","No",,,,,,,,,,,,,,,,,,,,
119422577,"Hausa and English","11/08/1984","whatsapp","hausa","Islam","Female",,"Married","No","Government employee","civil servant",,1,5,"Polytechnic",,"Yes","Always","Always","Sometimes","Very Good","Sometimes","No",,,,,,,,"Never","Frequently","Very Good",,"Very satisfied","Not at all","Neither satisfied nor dissatisfied","A great deal","A small amount","Never","A great deal","Completely","Satisfied","Satisfied","Slightly","Extremely","Not at all","Very","Satisfied","Satisfied","Satisfied","Satisfied","Very dissatisfied",,"No","No","Yes","No","Never","Never","Never",12,,12,"Yes","Good","school","Hearing Aids",,,11,"No","Not at all",,,"Not at all",,,"No","No",,"Neutral","Never","Frequently",,"Completely","Yes",,"Malaria",,,,,,,,,"Very satisfied","Sometimes",,"Somewhat","Not at all","Yes","Not at all",,"A fair amount of the time","oral communication"
119422378,"English and Hausa","11/02/1991","Email","Hausa","Islam","Male",,,,"Self-employed",,25000,,,"High school or vocational",,,"Always","Always","Sometimes","Fair",,,,,,,,,,"Sometimes","Infrequently","Neither poor nor good",,,,,,,,,,,"Fairly dissatisfied","Not at all","Slightly","Not at all",,,"Very dissatisfied",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"No",,,"Unsatisfied","Sometimes","Frequently","Sometimes","Not at all","No",,,,,,,,,,,,,,,,,,,,
119420951,"English and Hausa","04/24/1984","text sms, whatsapp and email","hausa and fulani","Islam","Male","No","Married","Yes","Government employee","high technical officer architect",45000,,6,"University (Bachelor degree)",,"Yes","Frequently","Always","Frequently","Very Good","Frequently","Yes",,,,,,,"Other","Always","Always","Very Good","Very satisfied","Very satisfied","Somewhat","Neither satisfied nor dissatisfied","An extreme amount","A great deal","Sometimes","An extreme amount","Completely","Very satisfied","Neither satisfied nor dissatisfied","To a great extent","Moderately","Somewhat","Very","Neither satisfied nor dissatisfied","Neither satisfied nor dissatisfied","Very satisfied","Satisfied","Satisfied",,"Yes","No","Yes","Yes",,"Never","Never",4,"hearing aid and cochelar implant if it's safe",8,"I already know sign language","Good","school and peers","Hearing Aids",,,25,"No","Somewhat",,,"Not at all",,,"Yes","Yes","myself","Satisfied","Sometimes","Frequently","Never","Somewhat","Yes",,"Malaria",,,,,,"Ulcers",,,"Neither satisfied nor dissatisfied","Frequently","No","Somewhat","Somewhat","Yes","Slightly",,"A fair amount of the time","hausa and sign language"
119419640,"English","07/11/1988","Social media and email","Hausa","Islam","Male","No","Single",,"Self-employed",,35000,3,7,"High school or vocational",150000,"Yes","Infrequently","Always","Infrequently","Fair","Infrequently","Yes","I don't have the transportation to go shopping for healthy food",,,,,,,"Infrequently","Infrequently","Good","Neither satisfied nor dissatisfied","Neither satisfied nor dissatisfied","Somewhat","Neither satisfied nor dissatisfied","A great deal","A great deal","Sometimes","A great deal","Completely","Satisfied","Neither satisfied nor dissatisfied","Slightly","Very","Slightly","Moderately","Neither satisfied nor dissatisfied","Neither satisfied nor dissatisfied","Satisfied","Neither satisfied nor dissatisfied","Satisfied","security","Yes","No","No","No","Once",,,12,"hearing help",13,"I already know sign language","Good","deaf school",,,,,,,,,"Not at all",,"access to information and communication","Yes","Yes","myself","Unsatisfied","Sometimes","Frequently","Frequently","Somewhat","Yes","Typhoid","Malaria",,,,,,,,,"Satisfied","Frequently","No","Somewhat","Not at all","Yes","Somewhat","through social media","A fair amount of the time","through speaking"
119419172,,"04/20/1980",,,,"Female",,,,"Unemployed",,0,,,"Illiterate",,,"Never","Infrequently","Infrequently",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Not at all",,,"No",,,"Unsatisfied",,,"Never","Not at all","No",,,,,,,,,,,,,,"Not at all","Slightly",,"Not at all",,,
119418689,"English sign language","08/07/1993","facebook and whatsapp","Igbo","Christianity","Male","No","Married","Yes","Self-employed","tailor",50000,2,7,"High school or vocational",180000,"Yes","Sometimes","Sometimes","Sometimes","Very Good","Sometimes","Yes",,"I don't have the time to shop for, and prepare healthy food",,,,,,"Sometimes","Always","Good","Very satisfied","Very satisfied","Completely","Satisfied","A great deal","An extreme amount","Sometimes","A small amount","To a great extent","Very satisfied","Very satisfied","Completely","Very","Somewhat","Very","Neither satisfied nor dissatisfied","Satisfied","Satisfied","Satisfied","Satisfied",,"No","Yes","No","Yes","A few times","Many times","Never",8,"I was a kid and 8 years old. I was hearing and when someone prisoned me after I became blood ears so hearing lose. I need to my support hearing lose and community.",10,"Yes","Very good","school","Hearing Aids",,,,"Yes","Not at all",,,"To a great extent",,,"Yes","Yes",,"Very Satisfied","Always","Always","Always","Somewhat","Yes",,,,,,,,,"Other",,"Satisfied","Sometimes","Yes","Completely","To a great extent","Yes","To a great extent",,"A little of the time","communicate with my sister"
119417918,"English language","09/09/1986","sign language","Igbo south east","Christianity","Male","No","Married","Yes","Government employee","civil servant",41000,1,5,"Polytechnic",350000,"No","Never","Sometimes","Never","Poor","Infrequently","Yes",,,"I don't know how to cook and prepare healthy meals",,,,,"Never","Never","Poor","Neither satisfied nor dissatisfied","Fairly dissatisfied","Not at all","Neither satisfied nor dissatisfied","An extreme amount","A small amount","Never","A small amount","Completely","Satisfied","Very dissatisfied","Not at all","Not at all","Not at all","Not at all","Very dissatisfied","Very dissatisfied","Fairly dissatisfied","Fairly dissatisfied","Fairly dissatisfied","nobody","No","No","No","Yes","Many times","Never","Never",0,"IDK",9,"I already know sign language","Very good","secondary school",,,,,,"Not at all",,,"Not at all",,"no access to communication, no central support, no access to health care","Yes","No","myself","Very Unsatisfied","Never","Sometimes","Never","Not at all","No","Typhoid","Malaria",,,,,,,"Other",,"Very dissatisfied","Never","No","Not at all","Not at all","Yes","Not at all","no information for us at all","All of the time","gesturing"
119415902,"English","01/01/1969","sign language","deaf","Christianity","Male","No","Married","No","Retired",,30000,1,,"University (Bachelor degree)",300000,"No","Always","Always","Infrequently","Good","Sometimes","Yes","I don't have the transportation to go shopping for healthy food",,,,,,,"Never","Never","Good","Satisfied","Very satisfied","Completely","Neither satisfied nor dissatisfied","An extreme amount","A small amount","Always","An extreme amount","Completely","Very satisfied","Very satisfied","Not at all","Extremely","Not at all","Moderately","Fairly dissatisfied","Very dissatisfied","Very satisfied","Neither satisfied nor dissatisfied","Very satisfied","god","Yes","No",,"No","Many times","Never","Never",10,,12,"I already know sign language","Very good","special education school","Hearing Aids",,,10,"No","Not at all",,,"Completely",,"education, job, and government don't care","Yes","No","government","Neutral","Never","Never","Never","Completely","No",,,,,,,,,"Other",,"Very satisfied","Always","No","Slightly","Completely","Yes","Completely","from my phone","A fair amount of the time","oral and english and igbo"
